TimeStep,Macro_t0,Gap_t0,Macro_t50,Gap_t50,Macro_t100,Gap_t100
77,0.7436775672707415,0.02947964179028828,0.7250614253267335,0.04730127006149032,0.7403937435389256,0.028208102937827162
78,0.7444605698324908,0.02774223265298259,0.7255552422893177,0.04635930822333145,0.7412302785364165,0.027463153229014714
79,0.7456580652073337,0.027240496207377562,0.7265999058721795,0.04673943623243226,0.7419506375551757,0.027173625365434884
80,0.7464845991843697,0.0280412557602836,0.7273231684508612,0.04668762526427561,0.7428316931370637,0.027234744539153533
81,0.7476443798677587,0.028733652149782074,0.7276796184863189,0.046401623431364,0.7432983019723896,0.02615015229542872
82,0.74825547862267,0.02930417039508726,0.7287705513920479,0.04721244880028319,0.7437426179558393,0.02538864340100011
83,0.7491898239147624,0.02751700397210355,0.7295592827951444,0.04662932493274319,0.7444476000401941,0.023612004551924803
84,0.7502900594943291,0.026342262334862032,0.7300943326073828,0.04768896049491789,0.7449888846284227,0.02194549172452187
85,0.7514005387229195,0.02621908888235691,0.7304565806416798,0.046691409976096665,0.7458003007466931,0.02124396320758637
86,0.7518586300293303,0.024135919675653428,0.7311716604428564,0.04571492315102965,0.7460348310973842,0.02165488100402746
87,0.7531473674582658,0.02265304478397978,0.7310751366534957,0.04439977111241877,0.7466321032036185,0.018872319301668328
88,0.7536566895339697,0.02054046590094316,0.7312438214466188,0.04402631648521427,0.7468358267305304,0.020107486724635915
89,0.7539479282041941,0.019239459626151922,0.7319286070406941,0.04222400809870852,0.746994563200688,0.019852871790004722
90,0.754520413933686,0.01784114654829838,0.7327409362174262,0.040966296030941374,0.7478179562566654,0.019817440166939537
91,0.755348430559689,0.015383625273503121,0.7333952854510289,0.04078880030382992,0.7483635651696947,0.021538604996528377
92,0.7557504964733244,0.016733469257309785,0.7338315960104353,0.0404322151383022,0.7485915147094276,0.021189972802659995
93,0.7562936962205331,0.01337614842741952,0.7341307966820396,0.039618374058078776,0.7490674639235625,0.020469546301555286
94,0.7566321266638312,0.012717745602226715,0.7346173360781095,0.03880563102398771,0.7498704150585044,0.020029409584016555
95,0.7575218363902929,0.012277334385325078,0.7353920206790667,0.03746656416492411,0.7503546522765681,0.018802578911584433
96,0.7579661997598962,0.01150957423374066,0.7363107318910082,0.03677964351002527,0.7508772959446903,0.020122120282708766
97,0.7581969862802114,0.011199031518813185,0.7370799179503278,0.037357446713692344,0.7512962842146806,0.01952285915384644
98,0.7584221570066284,0.011395912570249966,0.7377487347419028,0.03638134390694692,0.7520660907981604,0.01897454580269331
99,0.7587199727342434,0.011588797737077439,0.7389970157183589,0.03583996118382271,0.7519032815699487,0.018761066289088357
100,0.75885381943524,0.009570228502497446,0.7395915500305417,0.03547296903413644,0.7526797923928097,0.01893514432575827
101,0.7586762230558645,0.010114862023046234,0.7403310600247682,0.034055035039379344,0.7528718186262027,0.020656147563686278
102,0.7589588529537378,0.008660147025377762,0.7407777746314431,0.03472519448281575,0.753329866571087,0.01929282256830389
103,0.7588505481567174,0.006496801547965392,0.7414768769748656,0.0338347621120042,0.7533831348359495,0.019000955104766182
104,0.7594771559567088,0.006282250917371113,0.7425309656422687,0.03352261273233703,0.7536686988258925,0.020317274655601736
105,0.7602246715169579,0.006185724785255364,0.7426714690514,0.03336359091675822,0.7540183943525315,0.019419851973796587
106,0.7601792978105271,0.005940220561341247,0.7425848306902282,0.03253321178316659,0.7546723821337992,0.018789758597803963
